wordId,englishWord,pa,chineseWord,englishInstance1,chineseInstance1,englishInstance2,chineseInstance2,collect,pron,fatherId
e4d40d46-826c-3579-8a91-b25dd2a708b4,aged,eɪdʒd,老年的，陈年的；（食品、酒等）陈年的；（动物）达到几岁龄的；老年人特有的“age”的过去式和过去分词；使显老，使苍老；,Old age has not dimmed her memory .,未满5岁儿童免费。,Children under five years of age are not charged .,青春只是偶尔认识老年。,0,http://res.iciba.com/resource/amp3/oxford/0/2c/16/2c16c890abb67c21f0c4e7f01d672aa6.mp3,
da3a573c-0758-3b1a-a067-ec91192072c0,aging,'eɪdʒɪŋ,老化；老龄化；（酒等的）陈化；熟化使变老；（使）长大( age的现在分词 )；使显老；使变老使苍老；,Old age has not dimmed her memory .,未满5岁儿童免费。,Children under five years of age are not charged .,青春只是偶尔认识老年。,0,http://res.iciba.com/resource/amp3/0/0/ec/ca/ecca8c5061f99cf8c9df39430b53f2dd.mp3,
6f233ca5-c30b-3ebb-b4c0-033f1d1a6906,ageing,,,Old age has not dimmed her memory .,未满5岁儿童免费。,Children under five years of age are not charged .,青春只是偶尔认识老年。,0,,
f2e0db6f-f3a6-3ee1-89ca-060d2946b97f,ageless,ˈeɪdʒləs,不老的，永恒的；,I can appreciate the ageless splendor of temples and museums and bridges .,新的重点是放在无用的自由体图这一永远不过时的方法上。,The new emphasis is on the use of the ageless method of a freebody diagram .,吉格斯、斯科尔斯、内维尔和索尔斯克亚都很出色并一直得到信任，他们似乎是弗格森号战舰上不老的方向舵。 ,0,http://res.iciba.com/resource/amp3/oxford/0/02/31/0231194e2167a380938d3bea706947d2.mp3,
ba3d50ee-8128-3d2b-82ce-89ef343b2ddb,ageism,'eɪdʒɪzəm,对老年人的歧视；,Do you think there is ageism in china,你觉得社会上有歧视老年人的现象吗？ ,We let her move in because we want to make a statement about ageism in america,为了将美国老人受歧视的现象公诸于世，我们让她搬进来。 ,0,http://res.iciba.com/resource/amp3/oxford/0/ba/55/ba55cb006375916ee44f97054791a886.mp3,
3b30e1f4-2bf2-3bf5-8a56-3beddb06e0a4,agedness,eɪd'ʒɪdnes,老年，高龄；,Mentality health and nursing realize of middle age and agedness patients  , 中老年患者的心理健康及护理体会,3 consign item of minhang district of shanghai : research of agedness status and service need of parents own single child in minhang district  , 3上海市闵行区委托研究课题：闵行区独生子女父母老年状况及服务需求研究,0,http://res-tts.iciba.com/9/c/3/9c360a78be7fe37ccdfbcc9e48e85c54.mp3,
c9fe36ac-dae4-3e8a-82c3-58d4991133fe,air,eə(r),天空；空气；空中；神态曲调；晾干；通风；公开发表；播送,"He was a london boy, with a loutish air .",打开窗户放进些新鲜空气。,Open the window and let in some fresh air .,空气里弥漫着浓雾，寒意侵人。,0,http://res.iciba.com/resource/amp3/0/0/3c/45/3c4588116394d2164657875b7430907e.mp3,
d0b63db8-6890-3ed4-a791-a8f60bfe12b7,airy,ˈeəri,空气的；空中的；轻快的；通风的,I tried my best to assume an airy manner .,它宽敞、通风，朝向圣查尔斯街。,It was large and airy and faced st. charles avenue .,她站在那显得那么苗条，高贵而轻盈，一举一动都有点飘飘欲仙。,0,http://res.iciba.com/resource/amp3/0/0/75/09/7509db377c2cc3199b960287c4310eb9.mp3,
ba36a74e-466c-3d8a-95b7-23a3ab2245a1,airless,ˈeələs,不通气的，无风的；无空气的；,The airless mexican walked boldly out .,汽车里闷热得要命。,It was terribly hot and airless in the car .,无气喷射式发动机,0,http://res.iciba.com/resource/amp3/oxford/0/74/c9/74c920bb9e1bf70b7f1500c53c5131c3.mp3,
76f8113f-7b56-3c54-840c-49efc835422a,airlike,'eəlaɪk,似空气的；,"And his love of word origins is instructive : "" artery derives from a Greek word meaning ` air duct,'based on the ancient belief that these vessels contain not blood but an airlike essence called pneuma .""",,It's difficult to see airlike in a sentence. 用airlike造句挺难的,,0,http://res-tts.iciba.com/1/a/4/1a41a67142d4a80d061f59da8d9f0722.mp3,
d74c8ec1-2a73-3bda-be8f-8346b55545fa,airing,ˈeərɪŋ,晾；（电视台或无线电台）广播；（开车、骑车或骑马）兜风；（意见等的）公开发表晾晒( air的现在分词 )；烘干；播送；广播,"He was a london boy, with a loutish air .",打开窗户放进些新鲜空气。,Open the window and let in some fresh air .,空气里弥漫着浓雾，寒意侵人。,0,http://res.iciba.com/resource/amp3/0/0/05/bd/05bd80a5e6a53a1b24c08b233ba11bbb.mp3,
7eb97259-a94d-3792-a48d-ee9f30f5392c,airer,ˈeərə(r),干燥器，晒衣架；晾衣架；,"He was a london boy, with a loutish air .",打开窗户放进些新鲜空气。,Open the window and let in some fresh air .,空气里弥漫着浓雾，寒意侵人。,0,http://res.iciba.com/resource/amp3/0/0/d0/3c/d03c7c02201678bf7efe1d5be8214c03.mp3,
6c4885f6-8239-360f-8a18-05ee1fa7d5c3,airiness,'eərɪnɪs,通风，空虚；,"Often open all windows , make airiness",经常打开所有窗户，使空气流通。 ,"The stopper can prevent airiness . bravery has separator inside , prevent airiness",木塞能阻止空气流通。内胆有隔离层，阻止空气流通。 ,0,http://res.iciba.com/resource/amp3/0/0/57/b3/57b3e95e78d60a1898f555b8157a10ce.mp3,
27371412-2afd-3154-a342-4c5728aa2fd0,die,daɪ,死亡，熄灭；凋零，枯萎；渴望，盼望；钢型，硬模；骰子；,I should fall down and die in the woods .,我和他谈话的愿望逐渐消失了。,My will to talk to him gradually died .,他临终时全家人都守在身旁。,0,http://res.iciba.com/resource/amp3/oxford/0/6b/73/6b73124fd7ee83305a63893b6c0f7a5c.mp3,
74e154b1-474a-3898-8e8c-dab1193d5e90,dying,ˈdaɪɪŋ,渴望，切盼；垂死的，临终的；会死的；快熄灭的“die”的现在分词；,I should fall down and die in the woods .,我和他谈话的愿望逐渐消失了。,My will to talk to him gradually died .,他临终时全家人都守在身旁。,0,http://res.iciba.com/resource/amp3/oxford/0/57/15/57157a413596c4360ae5b49582f393ba.mp3,
ae3baee5-fff4-35d0-8878-58a95b76200d,dead,ded,死去的；完全的；无感觉的；呆板的完全地；非常；绝对；极度死者；（死一样的）寂静；极寒时候；,The old man's former cronies are all dead .,我即使死了他也毫不关心。,I might as well be dead for all he cares .,他伤心挥泪，因为他已经成了一个死人。,0,http://res.iciba.com/resource/amp3/oxford/0/a0/a5/a0a537200c872f34bb2e24699ff40beb.mp3,
a9f563f7-524a-3c2c-9d50-5462cf4cd1da,death,deθ,死亡；（某种）死法，死亡方式；病危；死神,That motorbike will be the death of you .,说实话，我几乎醉死过去了。,"Indeed , i nearly drank myself to death .",听了那笑话，我的肚皮都笑破了。,0,http://res.iciba.com/resource/amp3/oxford/0/e9/f1/e9f15c923fab08e4b42821ad0fffc527.mp3,
9d45eb45-9f70-3e08-982a-bfca63935f60,deaden,ˈdedn,抑制 （感情），缓和 （疼痛）；减弱 （声音）；,So little was needed to deaden her .,这么做又会使她们追求的目标化为泡影。,That is a method deadening to their point of appeal .,难道人们看不出来，一个如此生气勃勃的姑娘很快就会被威洛比那样的男人搞得死气沉沉吗？,0,http://res.iciba.com/resource/amp3/oxford/0/99/f1/99f17534da583a0a28e3705c3c17a426.mp3,
812dd18f-bb45-3ff6-af9e-b5ea3d395dce,deadly,ˈdedli,极端的，非常的；致命的，致死的；非常有效的；如死一般的极其，非常；死了一样地；,A deadly coldness stole over me .,也许那是一个致人死命的轮子。,That is probably quite a deadly wheel .,屋里所有人的表情都十分严肃。,0,http://res.iciba.com/resource/amp3/oxford/0/b1/88/b1880c07023815b8d2b0fcb4238d40a6.mp3,
771da071-f4d6-37fd-8a2e-3dff3a4ad25e,deadness,'dednəs,死，无生气，死一样的状态；,"Money , money , money , prostitution and deadness",金钱！金钱！卖身与死！ ,"Built of money , blossomed of money , and dead with money . the money - deadness",它是金钱建筑起来的，它是金钱繁荣起来的，并且也是金钱把它杀死的。 ,0,http://res.iciba.com/resource/amp3/0/0/2c/be/2cbe714a60420e62ee22198517eb1243.mp3,
806c5645-8c31-35c6-b889-9e9079589993,deathly,ˈdeθli,死一般的/地，让人想到死亡；,She turned a deathly shade of white when she heard the news .,她望着他，他是多么平静，多么不凡，象一尊屈膝的偶像，死亡宗教中的某个偶像。,"She saw him, how he was motionless and ageless, like some crouching idol, some image of a deathly religion .","夜晚变得死寂,他脸上失去了一切表情",0,http://res.iciba.com/resource/amp3/oxford/0/56/6c/566c86831c855c451299d7d769a08cc4.mp3,
a4062ca3-39a7-3e71-a453-6913cf500616,deathless,ˈdeθləs,不死的，不灭的；,"Short is my date, but deathless my renown .",心里疑神疑鬼的，给一团没结没了的哀愁弄得痛苦难熬，他又祈求黑夜给他一个回音了。,"Once again, tortured with doubt, racked with a deathless grief, he craved an answer of the night .",如果你知道如何谛观，如何感触，你就会变得不生不灭，因为任何事物的本性都是不生不灭的。 ,0,http://res.iciba.com/resource/amp3/oxford/0/3e/23/3e239b5a2b26e38f214f6502f88d6c7c.mp3,
220cac67-4695-331d-b7e0-0c09feb865eb,deathlike,'deθlaɪk,死了一样的，象死人的；,A more than deathlike silence then reigned in the house,这时，整幢房子被死一般的寂静笼罩着。 ,"In the deathlike stillness , the only sound was the tramp of hoofs",在死一般的沉寂中，可以听见得得的马蹄声。 ,0,http://res.iciba.com/resource/amp3/0/0/40/30/403086c43a1322bb9098f27a450f1722.mp3,
9b2418e1-6fbc-3a90-9592-cd5e4c7ed4de,react,riˈækt,反应，作出反应；影响；起反作用；使发生相互作用；使起化学反应；反抗；再演，重演,They will react with ammonia to form amidines .,你反抗现存社会体制的虚假,You've react against the lies of the system .,首先起来反扑的是墨索里尼。,0,http://res.iciba.com/resource/amp3/oxford/0/37/7f/377f38263ae9a554f8b6eac2100876e8.mp3,
b181734d-c5ee-331f-98d3-eec7bf65afdc,reactive,riˈæktɪv,反应的；电抗的；活性的；,Presumably reactive surfaces became blocked .,这些原子有较高的反应活性。,These atoms are highly reactive .,要研究的第一种活性中间体叫做“正碳离子”。,0,http://res.iciba.com/resource/amp3/oxford/0/ca/e2/cae2cc752d1e3ab6e236823ca7b27bcd.mp3,
c513d28d-bc4e-347f-8b91-8f6382d71cdc,reaction,riˈækʃn,反应；反作用力；反动；保守,We call this factor the extent of reaction .,这种反应叫做非绝热反应。,Such reactions are called non-adiabatic .,反动势力给改革造成了困难。,0,http://res.iciba.com/resource/amp3/oxford/0/19/39/1939e684ae498edbccb08a08aef80ecb.mp3,
e49887aa-3154-3fea-96d9-20383dee5cb4,reactor,riˈæktə(r),[化工]反应器；[核]反应堆；起反应的人；原子炉,A series of batch biological reactors are used .,在远方有一座核电站。,In the distance there is a nuclear reactor power station .,工人们仍然正在设法用混凝土把反应堆埋起来。,0,http://res.iciba.com/resource/amp3/oxford/0/2f/f7/2ff75ab4413b1d08ce9021940392ca7f.mp3,
f9331cd0-4353-3c15-b8c5-c5eb56dc6f79,reactant,riˈæktənt,反应物；,"The feed reactants can be alkadienes, cycloalkadienes .",所加的反应物可以是二烯烃，环二烯烃。,"The feed reactants can be alkadienes, cycloalkadienes .",恰当地表示燃烧速率随局部反应物特性和局部气动力环境的变化关系是很重要的。,0,http://res.iciba.com/resource/amp3/oxford/0/2a/32/2a321467c3215b219a42e1de21813dcb.mp3,
420dafe6-22c2-3422-aa83-b15065816e91,reactivity,ˌri:ækˈtɪvɪti,反应性；反应，反动；,They differ in solubility and chemical reactivity .,可用上述数据预言相对活性和反应发生的位置。,The data above can be used to predict relative reactivities and points of attack .,对氯苯甲酸的结构及化学反应性,0,http://res.iciba.com/resource/amp3/oxford/0/16/37/16375badd3420893fe084c6b5f58f2b0.mp3,
cefb3347-01ff-324a-abda-7d059dd0b279,reactivation,rɪˌæktɪ'veɪʃn,再生（作用）；再激活；再活化；被恢复活动,The main events occurred during reactivation .,或许这些实验系统中再激活作用只是还不够使其发生而已。,Perhaps the reactivation in these systems is simply not fast enough for this to occur .,目标包含结构的文本阅读中目标信息的激活,0,http://res.iciba.com/resource/amp3/0/0/22/6e/226e1bca2bf98b9f5a6eab0b0666c7cb.mp3,
93cfffc5-9e0f-34ed-a93a-50372fbd6b6a,reactionist,rɪ'ækʃənɪst,反动主义者，保守论者；,"""I'm a basketball-player reactionist,""",,But it is not easy . reactionists stick blindly to the old systems.,,0,http://res.iciba.com/resource/amp3/0/0/fd/3b/fd3bfa422e9810277f054120ba3cd511.mp3,
42ff3d31-24c0-328e-bcc1-f59166216314,reactionism,rɪ'ækʃənɪzəm,反动思想，极端保守主义；,The threat is apparently from someone uninvolved who observed the reactionism of the accusing editor.,,"The popular newspaper "" Le Constitutionnel "" pronounced this refusal "" a victory over the forces of counter-revolutionaries and reactionism .""",,0,http://res.iciba.com/resource/amp3/0/0/c9/7b/c97b65dc68e5fcb1f091a102edba7d6f.mp3,
92e4b916-2ec0-3016-8408-5bc04a7616c5,reactance,riˈæktəns,电抗；,"When the core is displaced, the inductive reactance of the secondary coil is unbalanced .",绝缘材料也产生电容，所以线路的电抗变得很大。,The insulating materials cause the capacitance and therefore the reactance of the line becomes very large .,公司主要产品：稳压器、高低压变压器、电抗器。 ,0,http://res.iciba.com/resource/amp3/oxford/0/4c/00/4c0057e2baeb0637a0f6119cde70886f.mp3,
